model6,[6, 1, 3, 4, 5, 2]
model7,[6, 1, 3, 4, 5, 7, 2]
model8,[6, 1, 3, 4, 8, 5, 7, 2]
model9,[6, 1, 3, 4, 9, 8, 5, 7, 2]
model10,[6, 1, 3, 4, 10, 9, 8, 5, 7, 2]
model11,[6, 1, 3, 4, 10, 11, 9, 8, 5, 7, 2]
model12,[6, 1, 12, 4, 10, 3, 11, 9, 8, 5, 7, 2]
model13,[6, 1, 12, 4, 10, 13, 3, 11, 9, 8, 5, 7, 2]
